DateTime,AddedIPs,RemovedIPs
1639023851,2,0
1639024933,5,36
1639026019,3,11
1639026728,3,0
1639027448,2,0
1639028168,4,21
1639028527,0,1
1639030330,4,19
1639031047,0,1
1639031769,2,26
1639032969,7,3
1639033928,1,7
1639035729,3,23
1639036449,2,0
1639038249,4,12
1639038968,0,14
1639039690,4,0
1639040769,2,10
1639041488,0,2
1639043289,3,5
1639045448,3,4
1639046170,3,8
1639046890,2,0
1639048328,2,4
1639049049,2,0
1639049770,1,2
1639051569,4,5
1639053369,1,4
1639054089,3,0
1639055171,0,4
1639056967,3,2
1639058769,4,9
1639060934,1,12
1639062728,6,6
1639063811,2,7
1639064948,2,11
1639065969,0,7
1639067110,3,0
1639068128,0,5
1639069568,1,20
1639071369,4,33
1639071729,1,0
1639073528,0,9
1639074251,1,0
1639074970,1,4
1639075690,2,0
1639077490,2,4
1639078574,0,5
1639079649,1,0
1639080369,0,11
1639081450,1,0
1639082169,0,13
1639083247,4,0
1639084328,1,4
1639085050,5,1
1639085770,90,2
1639086489,3,0
1639086849,1,1
1639087930,0,14
1639088649,1,1
1639089368,3,5
1639089728,0,2
1639090449,1,0
1639091588,3,5
1639093334,4,8
1639094529,2,2
1639095489,1,0
1639096571,1,2
1639098128,1,1
1639099090,1,0
1639099812,1,2
1639101248,3,2
1639103051,3,4
1639104488,2,7
1639105630,1,2
1639106288,2,0
1639107014,0,5
1639107731,5,2
1639109530,3,7
1639110615,1,5
1639111332,1,2
1639112530,3,8
1639113489,1,0
1639114212,3,7
1639114929,1,1
1639115650,1,0
1639116369,1,4
1639117088,2,0
1639118530,1,1
1639120327,1,0
1639122129,3,1
1639122847,4,0
1639124650,2,1
1639125371,1,5
1639127169,2,12
1639128974,5,12
1639131488,0,4
1639132212,0,2
1639132571,1,3
1639133288,2,2
1639135813,8,11
1639137250,1,0
1639137969,1,3
1639139769,1,4
1639140488,2,0
1639141569,0,9
1639142289,3,0
1639143729,2,20
1639145228,1,7
1639146612,1,14
1639147337,0,2
1639148769,1,4
1639149848,3,0
1639150211,0,8
1639151288,3,3
1639152729,2,7
1639153813,1,17
1639155250,2,8
1639157411,5,29
1639158130,1,2
1639158848,52,0
1639159928,16,10
1639160649,1,2
1639162089,2,31
1639162449,1,0
1639163168,1,11
1639164974,3,24
1639165332,1,0
1639166049,1,0
1639167488,3,6
1639168211,1,10
1639168930,0,1
1639169649,2,0
1639170370,1,5
1639171091,1,2
1639171814,0,9
1639172889,0,42
1639173247,1,0
1639175412,18,15
1639176128,3,2
1639176850,1,0
1639177568,2,1
1639177930,2,0
1639178655,3,0
1639179376,2,6
1639179736,1,0
1639180450,3,0
1639182248,7,2
1639182970,3,4
1639183689,6,1
1639184049,1,0
1639184770,3,4
1639185490,3,0
1639186210,2,7
1639186930,2,1
1639187648,7,1
1639189448,9,5
1639190529,4,9
1639191624,4,3
1639191971,2,0
1639193768,5,7
1639194128,2,1
1639195225,8,7
1639195931,5,0
1639196654,6,0
1639197377,6,9
1639197733,3,1
1639198449,3,1
1639199588,2,3
1639200248,2,1
1639201687,4,1
1639203130,2,9
1639203848,1,0
1639204211,2,1
1639206428,5,5
1639207088,1,1
1639207811,0,6
1639208528,1,0
1639209250,0,1
1639209967,1,6
1639210688,0,1
1639211412,0,4
1639212488,2,2
1639213628,2,0
1639215376,1,4
1639216929,9,6
1639217529,4,0
1639219330,16,2
1639220529,8,4
1639221129,4,0
1639222213,3,0
1639223648,7,1
1639225448,7,3
1639226529,3,4
1639227250,2,0
1639227971,3,4
1639229411,3,1
1639230129,2,1
1639230490,3,0
1639232290,6,2
1639232654,1,0
1639233374,3,6
1639234089,1,0
1639234449,3,1
1639236248,9,0
1639237329,3,3
1639238049,2,0
1639239128,6,3
1639240212,2,6
1639240929,1,0
1639243088,1,3
1639243811,61,3
1639244169,1,1
1639245968,5,14
1639246689,2,1
1639248129,3,7
1639250288,5,3
1639251019,2,2
1639252088,1,2
1639254250,2,5
1639254968,0,8
1639255329,1,0
1639256048,1,0
1639256769,1,62
1639258569,1,3
1639260369,4,1
1639262168,6,4
1639263729,3,6
1639265416,2,2
1639266490,4,0
1639267219,0,3
1639268651,4,0
1639270449,6,4
1639271529,4,2
1639274047,5,6
1639275128,3,2
1639275848,4,1
1639276929,1,7
1639279090,6,9
1639279813,1,2
1639280529,1,1
1639281250,1,1
1639282693,4,3
1639284132,5,4
