DateTime,AddedIPs,RemovedIPs
1638689410,1,2
1638692648,1,0
1638693368,0,2
1638694448,1,0
1638695167,0,1
1638697328,1,2
1638700210,0,1
1638700927,0,1
1638702728,1,1
1638704167,0,1
1638707410,0,5
1638708848,1,0
1638709567,1,0
1638710287,1,0
1638711010,1,0
1638711728,1,1
1638713168,1,0
1638715327,0,1
1638718567,1,1
1638720727,1,1
1638721810,1,2
1638723968,0,1
1638726846,1,0
1638727926,0,2
1638729367,2,4
1638733027,1,0
1638735487,4,1
1638736211,1,3
1638736566,0,1
1638737647,0,1
1638738368,2,2
1638739088,1,0
1638740169,0,1
1638741247,1,0
1638741619,0,1
1638743412,1,1
1638744608,4,1
1638747015,0,3
1638748087,2,1
1638749888,1,2
1638750249,1,0
1638751329,4,1
1638752047,4,0
1638754210,2,26
1638755287,1,0
1638757507,1,1
1638758528,2,0
1638759247,1,0
1638760328,4,0
1638761411,1,1
1638762487,1,0
1638764288,0,1
1638765731,1,0
1638768611,0,2
1638769748,1,0
1638770767,0,1
1638771847,2,0
1638772928,0,1
1638774127,2,0
1638775869,3,0
1638777966,4,1
1638780248,0,1
1638782772,1,0
1638784448,1,1
1638785169,0,1
1638786609,0,4
1638788767,1,0
1638789487,1,0
1638790928,1,0
1638792788,2,2
1638794527,2,3
1638795727,1,0
1638798849,1,0
1638799570,0,1
1638806049,1,0
1638808210,1,1
1638810368,0,8
1638811808,0,2
1638816127,2,2
1638818651,1,0
1638819013,0,1
1638821169,1,2
1638822969,1,0
1638823687,3,0
1638825128,2,2
1638825849,1,0
1638826569,0,1
1638829087,3,1
1638829811,1,0
1638831247,1,0
1638833053,1,0
1638834132,1,0
1638835326,0,1
1638836288,1,0
1638838447,1,0
1638839168,1,0
1638839527,3,0
1638840667,2,1
1638841326,2,0
1638842048,2,0
1638843128,1,0
1638843847,1,0
1638845647,0,2
1638846368,0,1
1638846728,1,0
1638848169,0,2
1638849969,0,1
1638851771,1,0
1638852488,2,0
1638853221,1,0
1638855727,0,3
1638858967,0,1
1638860769,1,0
1638865088,0,1
1638870909,1,0
1638871569,1,1
1638874446,1,0
1638875889,1,0
1638878047,1,0
1638879847,11,0
1638880924,12,2
1638882017,0,1
1638883088,1,0
1638886688,1,0
1638887414,1,0
1638887770,1,0
1638892448,0,1
1638896768,0,1
1638898209,1,1
1638899648,1,15
1638901447,1,0
1638902527,1,0
1638904328,1,1
1638906488,0,1
1638909848,1,2
1638911587,3,1
1638912613,1,2
1638912969,1,0
1638914048,1,0
1638914767,0,2
1638916927,1,0
1638919088,2,0
1638919817,1,1
1638920173,0,1
1638921309,1,0
1638922326,0,2
1638923827,0,1
1638925327,1,2
1638926288,3,0
1638927011,0,2
1638928818,0,4
1638930248,1,0
1638931447,0,1
1638933489,2,2
1638934928,1,2
1638937091,1,0
1638938530,1,3
1638940327,3,0
1638941767,3,2
1638942487,1,0
1638943568,0,2
1638944287,1,0
1638945011,2,4
1638945727,1,0
1638946927,0,5
1638948216,2,0
1638953410,0,1
1638955815,0,1
1638956174,1,0
1638957967,10,2
1638958688,2,0
1638959411,3,1
1638960127,1,1
1638961326,0,1
1638962288,1,0
1638963368,0,2
1638966246,3,2
1638967328,0,2
1638968767,0,1
1638969128,1,0
1638970210,2,0
1638973452,2,0
1638974653,1,0
1638976329,0,1
1638977768,0,1
1638979926,1,0
1638981367,1,0
1638982447,1,0
1638983169,1,0
1638983527,1,0
1638984611,1,0
1638985747,2,0
1638986767,1,0
1638988210,0,2
1638992174,1,0
1638992529,4,0
1638994328,6,1
1638995769,0,1
1638999068,0,2
1639001167,1,10
1639002968,1,1
1639004527,0,1
1639005487,1,0
1639006575,2,0
1639007647,1,0
1639008367,0,2
1639011246,1,3
1639011968,2,2
1639012686,3,0
1639014487,1,4
1639015926,1,0
1639017067,1,1
1639020249,2,1
1639021327,1,0
1639023128,1,4
1639024931,1,1
