DateTime,Entries,UniqueIPs
1639046884,16621,16621
1639048322,16626,16626
1639049043,16645,16645
1639049764,16407,16407
1639051564,16425,16425
1639053362,16406,16406
1639054083,16420,16420
1639055164,16417,16417
1639056243,16445,16445
1639056962,16400,16400
1639058763,16407,16407
1639060923,16403,16403
1639062722,16428,16428
1639063805,7967,7967
1639064942,16398,16398
1639065243,16407,16407
1639065962,16399,16399
1639067103,16430,16430
1639068123,16391,16391
1639068843,16414,16414
1639069563,16382,16382
1639070643,16419,16419
1639071363,16340,16340
1639071723,16348,16348
1639073522,16349,16349
1639074244,16370,16370
1639074964,16346,16346
1639075684,16362,16362
1639077483,16378,16378
1639078564,16349,16349
1639078923,16372,16372
1639079643,16394,16394
1639080363,16368,16368
1639081443,16410,16410
1639082162,16367,16367
1639083242,16397,16397
1639084323,16417,16417
1639085043,16447,16447
1639085763,16616,16616
1639086483,16654,16654
1639086843,16668,16668
1639087924,16647,16647
1639088642,16668,16668
1639089362,16606,16606
1639089723,16601,16601
1639090443,16626,16626
1639091582,16608,16608
1639093323,16603,16603
1639094523,16610,16610
1639095483,16635,16635
1639096564,16600,16600
1639096924,16605,16605
1639098123,16619,16619
1639099082,16650,16650
1639099805,16646,16646
1639101243,16706,16706
1639102323,16694,16694
1639103044,16720,16720
1639104242,16697,16697
1639104483,16705,16705
1639105623,16703,16703
1639106282,16733,16733
1639107006,16718,16718
1639107724,16732,16732
1639109523,16757,16757
1639110604,16744,16744
1639111322,16739,16739
1639112523,16714,16714
1639113483,16746,16746
1639114205,16713,16713
1639114922,16728,16728
1639115644,16753,16753
1639117082,16758,16758
1639118524,16773,16773
1639120322,16840,16840
1639122482,16910,16910
1639122842,16923,16923
1639124643,2979,2979
1639125364,16964,16964
1639127164,16896,16896
1639128964,16807,16807
1639129683,16850,16850
1639131482,16863,16863
1639133282,16837,16837
1639133643,16856,16856
1639135805,16773,16773
1639136522,16780,16780
1639137243,16805,16805
1639137964,16748,16748
1639138683,16770,16770
1639139763,16741,16741
1639140483,16748,16748
1639140844,16760,16760
1639141562,16743,16743
1639142643,16783,16783
1639144083,16739,16739
1639145883,16747,16747
1639147324,16718,16718
1639148043,16740,16740
1639149482,16742,16742
1639150204,16681,16681
1639151283,16702,16702
1639151643,16710,16710
1639152723,16696,16696
1639153805,16655,16655
1639155244,16673,16673
1639157405,16627,16627
1639158123,16637,16637
1639158843,16670,16670
1639159922,16657,16657
1639160644,16680,16680
1639161364,16619,16619
1639162082,16637,16637
1639162442,16654,16654
1639163162,16625,16625
1639165324,16632,16632
1639166042,16646,16646
1639167122,16634,16634
1639167482,16652,16652
1639168563,5262,5262
1639169643,16629,16629
1639170364,16606,16606
1639171443,16646,16646
1639171807,16589,16589
1639172883,16562,16562
1639173242,16589,16589
1639175405,16570,16570
1639176843,16606,16606
1639179724,16590,16590
