DateTime,AddedIPs,RemovedIPs
1639083244,7,1
1639084325,18,3
1639085046,16,0
1639085766,169,55
1639086486,17,3
1639086847,7,3
1639087927,19,32
1639088645,12,0
1639089365,9,32
1639089725,1,4
1639090446,3,0
1639091585,9,21
1639093329,34,28
1639094526,17,22
1639095485,4,0
1639096568,17,41
1639096926,6,4
1639098125,21,16
1639099085,12,1
1639099808,20,14
1639101245,36,2
1639103047,25,11
1639104485,27,12
1639105626,26,6
1639106285,6,0
1639107010,11,8
1639107728,4,8
1639109526,33,7
1639110612,18,12
1639111328,11,7
1639112527,6,12
1639113486,12,0
1639114209,3,10
1639114926,5,3
1639115647,12,0
1639116366,8,19
1639117085,9,0
1639117809,9,9
1639118527,6,0
1639120325,24,1
1639122126,26,0
1639122844,7,1
1639124647,18,0
1639125367,11,8
1639127166,25,34
1639128970,27,22
1639129685,9,1
1639131485,28,16
1639132208,8,19
1639132567,7,1
1639133285,14,1
1639133646,7,0
1639135809,10,29
1639136525,8,6
1639137246,9,0
1639137966,5,6
1639138684,7,0
1639139766,13,13
1639140485,9,4
1639140847,4,0
1639141566,11,7
1639142285,2,0
1639142645,3,0
1639143726,16,21
1639144085,3,0
1639145225,1,7
1639145886,12,1
1639146610,0,3111
1639147333,3105,0
1639148045,10,0
1639148766,2,18
1639149845,8,2
1639150208,6,16
1639151285,13,4
1639151645,3,0
1639152726,8,23
1639153809,7,25
1639155247,11,4
1639157408,15,24
1639158125,4,5
1639158845,7,22
1639159925,9,10
1639160646,8,1
1639161368,16,26
1639162085,17,4
1639162445,11,0
1639163165,6,14
1639164971,22,13
1639165329,4,0
1639166045,5,0
1639167485,16,19
1639168208,6,13
1639168926,7,9
1639169646,7,1
1639170366,13,17
1639171087,13,0
1639171810,15,25
1639172886,15,5
1639173244,8,0
1639175408,47,51
1639176125,10,14
1639176847,8,0
1639177565,13,24
1639177925,4,0
1639178649,9,0
1639179371,8,41
1639179731,8,0
1639180446,18,2
1639182246,25,39
1639182966,6,52
1639183685,11,9
1639184045,4,0
1639184766,8,23
1639185487,8,0
1639186207,11,29
1639186926,4,2
1639187645,5,3
1639189446,22,18
1639190526,8,43
1639191618,10,7
1639191967,4,0
1639193765,25,23
1639194125,5,0
1639195218,20,18
1639195926,8,0
1639196650,9,2
1639197372,7,30
1639197729,3,1
1639198446,7,0
1639199585,20,25
1639200246,14,0
1639201683,14,23
1639203127,32,21
1639203845,3,0
1639204207,4,21
1639206425,21,16
1639207085,8,0
1639207807,4,26
1639208525,15,3
1639209246,15,0
1639209964,12,24
1639210685,4,0
1639211409,13,23
1639212485,17,12
1639213625,14,25
1639214285,9,0
1639215371,11,26
1639215727,4,1
1639216925,24,18
1639217525,9,0
1639219327,24,30
1639220525,10,23
1639221126,4,1
1639222209,12,29
1639223645,19,9
1639225445,8,18
1639226526,9,40
1639227247,8,0
1639227968,6,13
1639228685,8,0
1639229408,8,14
1639230127,9,10
1639230486,6,1
1639232286,22,23
1639232650,3,0
1639233370,14,31
1639234086,6,4
1639234446,4,1
1639236245,20,17
1639237325,10,33
1639238045,9,0
1639239126,15,22
1639240209,15,26
1639240925,8,11
1639243085,23,13
1639243808,8,41
1639244166,6,5
1639245965,31,19
1639246686,12,0
1639248126,13,42
1639250285,21,30
1639251014,10,30
1639252085,10,6
1639252446,1,0
1639254246,15,17
1639254965,14,35
1639255326,3,3
1639256045,7,0
1639256765,8,22
1639257485,7,0
1639258566,11,36
1639260365,29,11
1639262166,21,33
1639262527,2,0
1639263725,20,19
1639264686,12,0
1639265412,6,11
1639266486,11,14
1639267214,1,18
1639268647,25,0
1639270446,22,32
1639271525,15,26
1639272246,12,0
1639274044,36,32
