DateTime,AddedIPs,RemovedIPs
1638402487,1,14
1638403567,1,12
1638405368,1,3
1638406086,5,0
1638406448,3,0
1638407935,13,0
1638411848,1,0
1638415449,0,1
1638416168,0,1
1638416888,1,0
1638417968,1,12
1638419044,0,10
1638423726,0,1
1638427328,0,1
1638428048,1,0
1638429488,1,0
1638430210,0,1
1638431767,1,0
1638433447,3,0
1638434168,0,1
1638435966,1,1
1638436327,0,1
1638437466,2,1
1638438128,0,1
1638438847,0,1
1638440647,2,4
1638441367,0,1
1638442087,0,1
1638442448,1,0
1638443166,0,2
1638444611,1,0
1638446416,0,1
1638447128,0,1
1638448211,0,1
1638449646,1,0
1638452887,1,0
1638453248,1,0
1638454688,0,1
1638456127,1,1
1638457928,1,0
1638462610,0,1
1638463687,1,1
1638464049,1,0
1638464767,0,1
1638466568,1,0
1638470528,1,1
1638471726,0,1
1638472688,2,0
1638473769,0,1
1638476647,1,1
1638478084,1,1
1638479888,1,0
1638480969,0,1
1638491047,0,1
1638493567,1,0
1638494288,1,0
1638496447,1,0
1638497889,0,1
1638501847,0,1
1638502212,0,1
1638503766,1,0
1638505087,1,0
1638506169,0,1
1638507247,1,0
1638510666,0,1
1638511807,1,0
1638512287,1,0
1638513728,0,2
1638520628,0,1
1638527046,0,1
1638528128,1,0
1638530288,2,0
1638531010,2,0
1638531367,1,0
1638532088,0,1
1638533227,0,1
1638533886,1,0
1638535328,3,1
1638536432,2,0
1638540128,1,0
1638542528,0,1
1638543247,2,0
1638543967,0,1
1638545768,0,1
1638546487,1,0
1638549011,0,2
1638551527,0,1
1638553327,2,6
1638555487,0,2
1638557286,2,0
1638562687,1,1
1638564126,1,2
1638567729,1,0
1638568448,0,1
1638570610,1,0
1638573487,0,1
1638574567,0,1
1638577088,1,0
1638577447,0,1
1638578529,1,0
1638580327,0,1
1638585728,0,1
1638587167,1,0
1638591851,2,0
1638592568,0,2
1638599047,0,3
1638599768,1,1
1638600129,0,1
1638604447,1,0
1638605886,0,1
1638608767,1,0
1638610569,1,2
1638611647,0,2
1638613810,1,1
1638614166,1,0
1638615487,0,1
1638619566,0,1
1638623166,0,1
1638628568,1,1
1638630369,0,1
1638631087,1,0
1638632166,1,1
1638633247,1,1
1638635410,0,1
1638636489,0,1
1638638287,2,0
1638639011,1,0
1638641167,1,1
1638642967,0,1
1638645126,2,0
1638651248,2,1
1638652388,0,1
1638659169,0,1
1638661328,6,0
1638662527,0,5
1638664567,0,1
1638665647,3,0
1638666788,1,2
1638675011,2,0
1638676148,0,1
1638682210,0,1
1638688327,1,0
1638692648,2,0
1638693727,0,1
1638694448,1,1
1638697328,2,0
1638698768,0,1
1638700210,0,1
1638702728,0,1
1638705967,0,2
1638708127,1,0
1638709567,1,0
1638710287,1,0
1638711010,0,1
1638713888,1,0
1638715328,1,1
1638716828,0,1
1638721811,0,1
1638723247,1,0
1638723968,0,1
1638725049,1,1
1638726247,0,1
1638726846,1,0
1638727926,1,1
1638731169,1,0
1638735488,0,1
1638740169,0,1
1638741247,1,0
1638746653,0,1
1638750249,1,0
1638755287,1,0
1638756366,0,2
1638759247,1,0
1638760328,1,1
1638762487,1,0
1638764288,0,1
1638766450,1,0
1638767527,1,0
1638779046,1,0
1638780248,0,1
1638782773,0,1
1638785169,2,0
1638790928,1,1
1638791648,0,1
1638793927,0,2
1638794527,0,1
1638795727,1,0
1638797048,0,1
1638800654,1,0
1638802449,0,1
1638806767,0,1
1638808210,0,1
1638810368,1,0
1638811088,0,1
1638816127,1,2
1638816847,1,1
1638818651,1,0
1638819731,1,0
1638821169,0,2
1638824049,1,0
1638825128,0,1
1638829811,0,1
1638834133,1,0
1638835326,0,1
1638838447,0,1
1638840667,3,0
1638841327,0,1
1638843128,0,1
1638845647,0,1
1638846368,1,0
1638850330,1,0
1638851055,0,1
1638852488,1,0
1638853221,2,0
1638855728,0,3
1638856447,1,0
1638857526,1,0
1638858246,0,1
1638858967,0,1
1638861486,1,0
1638863287,0,2
1638867248,1,0
1638868690,0,3
1638871929,1,0
1638875889,1,0
1638876610,1,0
1638879847,2,0
1638886688,1,0
1638890649,1,0
1638895746,1,0
1638901447,2,0
1638902527,0,1
1638904328,0,1
1638906488,1,1
1638910444,1,0
1638911587,0,2
1638912613,1,0
1638913688,0,1
1638914767,0,1
1638916927,1,0
1638919818,1,0
1638925327,1,0
1638926288,0,1
1638928818,1,1
1638930248,1,0
1638931448,1,1
1638937091,0,1
1638938530,0,1
1638939621,1,0
1638943568,2,0
1638944287,1,1
1638945012,0,1
1638945728,0,1
1638957967,3,1
1638958688,0,1
1638959411,1,0
1638960128,1,1
1638962288,0,1
1638962648,0,1
1638966246,1,0
1638976329,1,0
1638977047,0,1
1638987487,1,0
1638988211,0,1
1638988928,0,1
1638990367,0,1
1638992174,1,0
1638995769,1,0
1638996488,1,1
1638999068,1,0
1639002968,1,1
1639003327,0,1
