DateTime,AddedIPs,RemovedIPs
1639062724,19,9
1639063807,11,24
1639064944,11,6
1639065964,18,12
1639067105,18,0
1639068125,12,27
1639068845,13,0
1639069565,8,19
1639071364,22,27
1639071724,3,0
1639073524,22,18
1639074246,5,0
1639075686,19,17
1639077484,31,19
1639078568,12,17
1639078925,16,0
1639079644,10,1
1639080364,16,18
1639081445,20,0
1639082164,11,19
1639083244,17,3
1639084324,24,14
1639085044,9,2
1639085765,9,28
1639086485,17,1
1639086845,8,1
1639087926,31,20
1639088644,6,0
1639089364,12,20
1639089724,5,1
1639090445,19,1
1639091583,15,21
1639093327,21,27
1639094525,22,10
1639095484,17,0
1639096566,24,25
1639096926,3,1
1639098124,25,15
1639099084,16,2
1639099807,12,20
1639101244,24,8
1639103046,16,18
1639104484,21,35
1639105624,15,16
1639106284,13,0
1639107008,13,21
1639107726,14,2
1639109525,22,21
1639110611,15,22
1639111327,5,7
1639112525,9,17
1639113485,13,0
1639114208,7,18
1639114925,15,2
1639115645,7,0
1639116365,12,21
1639117084,12,0
1639117808,6,3
1639118525,7,1
1639120324,29,1
1639122843,32,3
1639124644,27,1
1639125366,10,15
1639127165,18,54
1639128969,20,86
1639129684,27,0
1639131484,26,23
1639132206,13,32
1639133645,16,19
1639135808,24,94
1639136524,9,6
1639137244,10,1
1639137965,14,58
1639138684,13,0
1639139764,14,29
1639140484,9,3
1639140846,5,1
1639141564,13,23
1639142284,13,0
1639142644,8,1
1639143725,16,33
1639144084,3,1
1639145224,17,18
1639145884,10,0
1639146610,11,15
1639147332,8,7
1639148044,7,1
1639148765,14,9
1639149844,19,3
1639150206,7,20
1639151284,16,8
1639151645,3,0
1639152725,16,10
1639153807,18,24
1639155246,28,6
1639157407,25,37
1639158124,8,4
1639158844,6,9
1639159923,8,21
1639160645,10,0
1639161366,9,28
1639162084,7,4
1639162444,3,0
1639163164,12,15
1639164970,25,18
1639166044,5,0
1639167484,16,20
1639168924,26,37
1639169645,10,1
1639170365,11,14
