DateTime,Entries,UniqueIPs
1639062724,3733,3733
1639063807,3720,3720
1639064944,3725,3725
1639065964,3731,3731
1639067105,3749,3749
1639068125,3734,3734
1639068845,3747,3747
1639069565,3736,3736
1639071364,3731,3731
1639071724,3734,3734
1639073524,3738,3738
1639074246,3743,3743
1639075686,3745,3745
1639077484,3757,3757
1639078568,3752,3752
1639078925,3768,3768
1639079644,3777,3777
1639080364,3775,3775
1639081445,3795,3795
1639082164,3787,3787
1639083244,3801,3801
1639084324,3811,3811
1639085044,3818,3818
1639085765,3799,3799
1639086485,3815,3815
1639086845,3822,3822
1639087926,3833,3833
1639088644,3839,3839
1639089364,3831,3831
1639089724,3835,3835
1639090445,3853,3853
1639091583,3847,3847
1639093327,3841,3841
1639094525,3853,3853
1639095484,3870,3870
1639096566,3869,3869
1639096926,3871,3871
1639098124,3881,3881
1639099084,3895,3895
1639099807,3887,3887
1639101244,3903,3903
1639103046,3901,3901
1639104484,3887,3887
1639105624,3886,3886
1639106284,3899,3899
1639107008,3891,3891
1639107726,3903,3903
1639109525,3904,3904
1639110611,3897,3897
1639111327,3895,3895
1639112525,3887,3887
1639113485,3900,3900
1639114208,3889,3889
1639114925,3902,3902
1639115645,3909,3909
1639116365,3900,3900
1639117084,3912,3912
1639117808,3915,3915
1639118525,3921,3921
1639120324,3949,3949
1639122843,3978,3978
1639124644,4004,4004
1639125366,3999,3999
1639127165,3963,3963
1639128969,3897,3897
1639129684,3924,3924
1639131484,3927,3927
1639132206,3908,3908
1639133645,3905,3905
1639135808,3835,3835
1639136524,3838,3838
1639137244,3847,3847
1639137965,3803,3803
1639138684,3816,3816
1639139764,3801,3801
1639140484,3807,3807
1639140846,3811,3811
1639141564,3801,3801
1639142284,3814,3814
1639142644,3821,3821
1639143725,3804,3804
1639144084,3806,3806
1639145224,3805,3805
1639145884,3815,3815
1639146610,3811,3811
1639147332,3812,3812
1639148044,3818,3818
1639148765,3823,3823
1639149844,3839,3839
1639150206,3826,3826
1639151284,3834,3834
1639151645,3837,3837
1639152725,3843,3843
1639153807,3837,3837
1639155246,3859,3859
1639157407,3847,3847
1639158124,3851,3851
1639158844,3848,3848
1639159923,3835,3835
1639160645,3845,3845
1639161366,3826,3826
1639162084,3829,3829
1639162444,3832,3832
1639163164,3829,3829
1639164970,3836,3836
1639166044,3841,3841
1639167484,3837,3837
1639168924,3826,3826
1639169645,3835,3835
1639170365,3832,3832
1639171808,3829,3829
1639172885,3833,3833
1639173243,3836,3836
1639175406,3827,3827
1639176124,3844,3844
1639176845,3853,3853
1639177564,3847,3847
1639177924,3850,3850
1639178648,3861,3861
1639179369,3854,3854
1639179730,3855,3855
1639180445,3862,3862
1639182244,3866,3866
1639182965,3866,3866
1639183684,3865,3865
1639184044,3873,3873
1639184765,3869,3869
1639185486,3874,3874
1639186925,3861,3861
1639187644,3873,3873
1639188724,3871,3871
1639189445,3883,3883
1639190525,3869,3869
1639191617,3881,3881
1639191966,3883,3883
1639193763,3887,3887
1639194124,3893,3893
1639195217,3893,3893
1639195925,3904,3904
1639196649,3916,3916
1639197370,3901,3901
1639197728,3902,3902
1639198445,3905,3905
1639199584,3906,3906
1639200244,3907,3907
1639201682,3906,3906
1639203125,3903,3903
1639203843,3912,3912
1639204206,3892,3892
1639205284,3902,3902
1639206424,3877,3877
1639207084,3890,3890
1639207806,3879,3879
1639208524,3882,3882
1639209245,3890,3890
1639209963,3872,3872
1639210684,3883,3883
1639211408,3894,3894
1639212484,3909,3909
1639213624,3901,3901
1639214285,3912,3912
1639215370,3904,3904
1639215726,3908,3908
1639216924,3901,3901
1639217524,3909,3909
1639219325,3895,3895
1639220524,3895,3895
1639221124,3906,3906
1639222207,3892,3892
1639223644,3900,3900
1639225445,3901,3901
1639226525,4027,4027
1639227246,4036,4036
1639227966,4027,4027
1639228684,4035,4035
1639229406,4017,4017
1639230126,4018,4018
1639230485,4025,4025
1639232649,4031,4031
1639233368,4003,4003
1639234085,4006,4006
1639234445,4009,4009
1639236244,4021,4021
1639237325,4001,4001
1639238044,4007,4007
1639239124,4002,4002
1639240208,3990,3990
1639240924,3996,3996
1639243084,4002,4002
1639243807,3986,3986
1639244165,3985,3985
1639245964,3993,3993
1639246685,3999,3999
1639248125,3979,3979
1639250284,3976,3976
1639251013,3961,3961
1639252084,3963,3963
1639252445,3966,3966
1639254245,3979,3979
1639254964,3961,3961
1639255325,3964,3964
1639256044,3975,3975
1639256764,3957,3957
1639257484,3968,3968
1639258565,3958,3958
1639260364,3954,3954
1639262165,3957,3957
1639262526,3960,3960
1639263724,3951,3951
1639264685,3963,3963
1639265411,3943,3943
1639266485,3948,3948
1639267212,3938,3938
1639268645,3955,3955
1639270445,3952,3952
1639271524,3953,3953
1639272244,3958,3958
1639274044,3953,3953
1639275124,3945,3945
1639275844,3956,3956
1639276925,3942,3942
1639279085,3944,3944
1639279808,3941,3941
1639280525,3945,3945
1639281245,3951,3951
1639282688,3951,3951
1639284127,3945,3945
1639285324,3930,3930
1639286464,3940,3940
1639287605,3923,3923
1639288444,3934,3934
1639289884,3927,3927
1639290607,3910,3910
1639291324,3916,3916
1639293124,3926,3926
1639294926,3906,3906
1639295646,3911,3911
1639296364,3899,3899
1639296723,3900,3900
1639297807,3889,3889
1639298944,3917,3917
1639300084,3889,3889
1639300324,3892,3892
1639301465,3881,3881
1639301767,3882,3882
1639303563,3886,3886
1639305008,3883,3883
1639306084,3890,3890
1639307884,3884,3884
1639308606,3868,3868
1639308965,3867,3867
1639310765,3864,3864
1639311485,3868,3868
1639312207,3851,3851
1639312924,3853,3853
1639314365,3849,3849
1639315085,3855,3855
1639315808,3837,3837
1639316526,3839,3839
1639317246,3846,3846
1639318684,3853,3853
1639319768,3828,3828
1639320484,3834,3834
1639321924,3841,3841
1639322645,3850,3850
1639323724,3825,3825
1639325884,3817,3817
1639326606,3807,3807
1639327744,3808,3808
1639328767,3808,3808
1639330206,3803,3803
1639331285,3813,3813
1639331646,3817,3817
1639332365,3812,3812
1639333084,3824,3824
1639333806,3813,3813
1639334524,3818,3818
1639335246,3825,3825
1639336685,3838,3838
1639338127,3817,3817
1639338844,3825,3825
1639339566,3813,3813
1639339925,3817,3817
1639341366,3813,3813
1639342564,3836,3836
1639343525,3850,3850
1639344608,3850,3850
1639345324,3854,3854
1639346045,3862,3862
1639346766,3842,3842
1639347484,3848,3848
1639347844,3850,3850
1639349644,3848,3848
1639350014,3842,3842
1639350725,3850,3850
1639351813,3844,3844
1639352525,3846,3846
1639354326,3848,3848
1639355465,3852,3852
1639355764,3855,3855
1639356485,3864,3864
1639356845,3867,3867
1639358646,3871,3871
1639359366,3867,3867
1639361165,3869,3869
1639361886,3874,3874
1639362607,3853,3853
1639364045,3866,3866
1639365124,3864,3864
1639365846,3872,3872
1639366927,3861,3861
1639368124,3852,3852
1639369087,3862,3862
1639369449,3877,3877
1639370525,3950,3950
1639371245,3954,3954
1639371964,3944,3944
1639372684,3958,3958
1639374846,3968,3968
1639375564,3952,3952
1639376284,3959,3959
1639378085,3948,3948
1639378446,3953,3953
1639379166,3947,3947
1639380964,3922,3922
1639381685,3934,3934
1639382046,3940,3940
1639383485,3940,3940
1639385284,3938,3938
1639386424,3946,3946
1639387810,3958,3958
1639388944,3978,3978
1639389964,3972,3972
1639390684,3980,3980
1639391407,3971,3971
1639392845,3984,3984
1639393925,3992,3992
1639394644,3997,3997
1639395364,3984,3984
1639396085,3987,3987
1639396445,3991,3991
1639397164,3831,3831
1639397884,3840,3840
1639400044,3850,3850
1639401124,3851,3851
1639402207,3851,3851
1639403284,3853,3853
1639403644,3858,3858
1639404364,3851,3851
1639406643,3859,3859
1639407245,3866,3866
1639407964,3870,3870
1639409766,3868,3868
1639410845,3878,3878
1639411925,3880,3880
1639413007,3869,3869
1639414085,3876,3876
1639415884,3873,3873
1639417685,3878,3878
1639418825,3881,3881
1639420563,3883,3883
1639421284,3889,3889
1639424165,3871,3871
1639424885,3878,3878
1639425245,3879,3879
1639427043,3871,3871
1639427407,3846,3846
1639428125,3849,3849
1639428844,3855,3855
1639429564,3845,3845
1639430285,3848,3848
1639430644,3854,3854
1639432564,3845,3845
1639434606,3826,3826
1639434966,3825,3825
1639436044,3834,3834
1639438211,3812,3812
1639438924,3816,3816
1639439644,3822,3822
1639440364,3807,3807
1639441807,3805,3805
1639442524,3808,3808
1639443245,3811,3811
1639444325,3795,3795
1639445044,3802,3802
1639446183,3778,3778
1639447324,3772,3772
1639447924,3781,3781
1639448645,3788,3788
1639449364,3769,3769
1639451166,3763,3763
1639451884,3771,3771
1639452245,3779,3779
1639453324,3760,3760
1639454045,3764,3764
1639455850,3760,3760
1639456212,3746,3746
1639456924,3738,3738
1639458365,3740,3740
1639460165,3737,3737
1639460884,3745,3745
1639461245,3747,3747
1639463043,3744,3744
1639463765,3712,3712
1639464485,3716,3716
1639466285,3726,3726
1639467424,3715,3715
1639468444,3753,3753
1639470244,3746,3746
1639470964,3724,3724
1639471325,3728,3728
1639473127,3732,3732
1639473485,3733,3733
1639474926,3717,3717
1639475644,3723,3723
1639476366,3711,3711
1639476725,3716,3716
1639478524,3702,3702
1639479246,3707,3707
1639479964,3702,3702
1639481044,3718,3718
1639481764,3698,3698
1639482484,3706,3706
1639484285,3683,3683
1639485424,3672,3672
1639487164,3681,3681
1639487884,3690,3690
1639488608,3681,3681
1639489324,3682,3682
1639491124,3679,3679
1639492212,3662,3662
1639492564,3662,3662
1639493644,3667,3667
1639495443,3663,3663
1639495806,3651,3651
1639496885,3672,3672
1639497613,3679,3679
1639498685,3685,3685
1639500484,3664,3664
1639503005,3640,3640
1639503365,3632,3632
1639505163,3635,3635
1639505884,3645,3645
1639506607,3629,3629
1639507324,3629,3629
1639508045,3636,3636
1639508764,3640,3640
1639509124,3643,3643
1639510925,3633,3633
1639511645,3639,3639
1639512365,3620,3620
1639513806,3616,3616
1639514884,3621,3621
1639515244,3625,3625
1639516326,3621,3621
1639517765,3612,3612
1639519565,3614,3614
1639521008,3597,3597
1639522085,3595,3595
1639523524,3602,3602
1639524664,3592,3592
1639525984,3605,3605
1639527845,3615,3615
1639529644,3600,3600
1639530783,3600,3600
1639531444,3611,3611
1639532166,3605,3605
1639532884,3612,3612
1639534684,3619,3619
1639535407,3610,3610
1639536484,3614,3614
1639537564,3614,3614
1639538284,3619,3619
1639540085,3491,3491
1639541526,3489,3489
1639542611,3475,3475
1639543746,3475,3475
1639544765,3474,3474
1639545483,3481,3481
1639547285,3485,3485
1639548725,3488,3488
1639549445,3513,3513
1639550524,3492,3492
1639550884,3493,3493
1639551964,3483,3483
1639552324,3487,3487
1639554124,3485,3485
1639554485,3491,3491
1639556284,3490,3490
1639557007,3455,3455
1639557726,3449,3449
1639558924,3438,3438
1639559885,3452,3452
1639560610,3440,3440
1639561325,3445,3445
1639561684,3450,3450
1639562764,3427,3427
1639563846,3450,3450
1639564208,3431,3431
1639565645,3434,3434
