DateTime,AddedIPs,RemovedIPs
1638521525,30,25
1638523448,29,35
1638525385,17,24
1638527290,21,24
1638529452,23,26
1638531389,26,26
1638533290,25,26
1638537124,20,53
1638539044,21,22
1638540987,31,23
1638542884,20,0
1638544825,18,0
1638546733,29,18
1638548666,33,0
1638550574,26,14
1638552506,17,0
1638554415,15,21
1638556324,18,0
1638558270,9,32
1638560168,9,0
1638562109,17,35
1638564271,16,19
1638566168,16,20
1638568108,13,20
1638570010,15,15
1638571947,10,23
1638573850,11,15
1638575784,12,0
1638577687,15,27
1638579611,13,17
1638581532,14,14
1638583467,18,0
1638585371,11,8
1638587308,13,23
1638589352,17,8
1638591386,17,26
1638593547,8,16
1638595447,12,12
1638597368,12,18
1638599307,27,25
1638601212,24,20
1638603371,21,0
1638605304,26,29
1638607268,19,18
1638609153,24,22
1638611067,19,21
1638612966,25,33
1638614851,21,24
1638616812,28,23
1638618728,23,32
1638620647,23,25
1638622566,26,18
1638624504,19,21
1638628346,29,40
1638630247,24,22
1638632409,14,12
1638636246,17,30
1638638186,19,25
1638640088,15,19
1638642249,19,18
1638646107,23,54
1638648013,17,32
1638649929,12,17
1638651867,9,24
1638653764,18,17
1638655924,20,16
1638657869,16,19
1638659786,11,0
1638663627,15,36
1638665768,22,11
1638667705,15,18
1638669610,7,19
1638671525,31,12
1638673466,11,21
1638675373,18,17
1638677546,18,19
1638679445,22,17
1638681605,26,0
1638683523,30,20
1638685465,31,8
1638687365,29,18
1638689305,29,20
1638691204,26,22
1638693124,23,23
1638695089,24,12
1638696965,27,30
1638699128,27,14
1638701287,24,17
1638703449,21,22
1638705365,22,18
1638707308,27,14
1638709216,30,23
1638711370,22,21
1638713524,24,18
1638715688,28,19
1638719530,28,14
1638721470,16,17
1638723367,24,14
1638725305,30,24
1638727218,16,13
1638729145,26,21
1638731048,22,23
1638733209,16,0
1638735092,25,12
1638737047,27,15
1638738987,21,10
1638740883,21,14
1638743049,22,10
1638744988,15,20
1638746887,22,21
1638748806,21,15
1638750747,25,21
1638752888,19,20
1638755046,17,8
1638756987,9,15
1638758888,17,7
1638761046,15,25
1638763210,15,11
1638765372,20,16
1638767305,24,11
1638769207,19,16
1638771124,26,11
1638773072,23,13
1638778805,24,78
1638780969,21,0
1638783125,25,16
1638785288,27,22
1638787457,26,29
1638789364,29,16
1638791310,25,20
1638793205,30,31
1638795127,19,0
1638797074,19,0
1638798967,19,10
1638800905,17,28
1638802817,25,17
1638804747,21,23
1638806649,22,30
1638808810,24,13
1638810987,26,26
1638812886,26,17
1638816745,22,26
1638818645,36,19
1638820819,15,25
1638822745,31,0
1638824648,14,24
1638826812,29,18
1638828724,18,0
1638830666,18,27
1638832566,22,26
1638836647,24,28
1638838589,16,22
1638840729,21,0
1638842886,17,32
1638844826,13,23
1638846727,22,0
1638848886,18,3
1638850826,20,11
1638852726,18,9
1638854645,21,0
1638856587,23,0
1638858486,29,23
1638860654,29,25
1638862591,23,22
1638864484,19,17
1638866650,29,21
1638868808,21,22
1638870725,24,26
1638872683,25,23
1638874567,26,21
1638876725,22,22
1638878648,20,23
1638880590,20,24
1638884661,31,44
1638886821,24,23
1638888967,20,15
1638890908,25,21
1638892806,14,0
1638894970,21,22
1638896908,24,23
1638898812,30,17
1638900750,20,20
1638904569,25,30
1638906507,16,16
1638908407,22,17
1638910324,12,19
1638912245,17,19
1638914409,22,11
1638918268,17,35
1638920170,11,23
1638922113,6,11
1638924010,17,18
1638926166,14,23
1638928326,19,0
1638930247,22,20
1638932187,16,11
1638934347,23,12
1638936249,16,11
1638938189,22,18
1638940345,14,40
1638942247,23,0
1638946353,32,27
1638948315,23,0
1638950283,28,29
1638952380,22,21
1638954832,21,24
1638956677,29,27
1638958565,17,32
1638960509,22,17
1638962406,20,35
1638964326,32,26
1638966266,20,26
1638968170,22,27
1638970326,23,33
1638972489,22,22
1638974427,16,29
1638976326,22,19
1638978548,20,23
1638980666,19,24
1638982570,26,23
1638988568,23,75
1638990723,31,19
1638992646,29,31
1638994590,21,25
1638996487,32,21
1638998648,18,16
1639000591,18,39
1639002484,17,0
1639004649,24,24
1639006810,17,15
1639008979,19,14
1639010908,11,12
1639012805,18,11
1639014729,20,13
1639016665,20,8
1639018568,18,16
1639020507,16,11
1639022419,20,23
1639024567,26,9
1639026746,30,16
1639028646,21,7
1639030587,31,17
1639032486,20,18
1639034646,23,30
1639036566,24,25
1639038508,23,22
1639040406,22,26
1639042567,27,24
1639044725,30,27
1639046886,28,26
1639049048,21,26
1639050967,24,37
1639052905,29,26
1639054807,22,30
1639056746,33,30
1639058647,21,20
1639060589,31,21
1639062487,31,25
1639064647,29,16
1639066829,26,23
1639068724,26,23
1639070647,20,16
1639072585,18,13
1639074486,20,15
1639076405,22,16
1639078346,21,25
1639082167,17,39
1639084107,16,19
1639086010,33,15
1639090327,22,34
1639092245,27,20
1639094186,16,13
1639096083,21,15
1639100415,24,41
1639102346,14,0
1639104292,14,21
1639106165,12,14
1639108332,9,11
1639110266,16,26
1639112168,18,15
1639114106,22,19
1639116016,23,17
1639118168,22,31
1639120323,28,19
1639122489,25,24
1639124404,25,22
1639126347,24,46
1639128246,24,0
1639130167,23,32
1639132105,18,50
1639134011,20,0
1639135952,24,20
1639137859,21,33
1639140021,18,30
1639141936,20,18
1639143880,21,15
1639145775,21,0
1639147938,13,39
1639150096,16,16
1639153930,22,54
1639155849,28,24
1639157788,15,14
1639159691,10,14
1639161628,24,12
1639163527,26,15
1639165448,17,7
1639167388,24,15
1639169292,29,14
1639171226,20,11
1639173129,28,19
1639175067,21,10
1639176967,24,7
1639178907,26,12
1639180815,14,12
1639185127,15,28
1639187047,22,16
1639188985,25,17
1639191124,18,9
1639193045,18,19
1639194986,21,15
1639196886,24,19
1639198817,18,5
1639200750,20,20
1639202647,20,16
1639204589,22,17
1639206494,23,24
1639208427,21,16
1639210327,20,21
1639212487,23,18
1639214647,31,32
1639216590,18,20
1639220648,25,46
1639222585,22,35
1639224484,24,22
1639226647,26,24
1639228811,25,24
1639230746,24,21
1639232653,19,0
1639234806,29,16
1639238906,27,48
1639240803,20,0
1639242746,21,15
1639244646,27,21
1639246566,25,11
1639248505,18,25
1639250410,21,0
1639252350,14,24
1639254248,21,19
1639256419,28,11
1639258345,20,11
1639260247,18,21
1639262165,13,13
1639264105,19,19
1639266008,12,14
1639268166,18,0
1639270345,18,9
1639272245,14,23
1639274189,23,11
1639276086,20,7
1639278036,15,26
1639279924,17,15
1639282086,13,24
1639286168,23,40
1639288107,14,24
1639290005,19,24
1639291924,18,34
1639293845,20,28
1639295766,23,26
1639297948,21,41
1639299846,25,0
1639302026,25,45
1639303924,25,0
1639305847,26,27
1639307788,23,18
1639309685,23,23
1639311627,29,27
1639313524,20,26
1639315448,27,28
1639317387,16,24
1639319528,24,28
1639321480,18,32
1639323365,22,0
1639325548,23,26
1639327446,22,11
1639329387,26,24
1639331529,20,19
1639335365,22,35
1639337286,21,21
1639339236,19,17
1639341130,14,19
1639343069,19,19
1639344965,12,27
1639347147,20,15
1639349045,14,26
1639350988,15,13
1639353126,12,20
1639355070,20,15
1639356965,15,14
1639359149,11,27
1639361048,13,19
1639362990,23,4
1639364888,17,19
1639368728,23,35
1639372566,15,42
1639374485,13,21
1639376430,26,28
1639378326,23,22
1639380249,29,0
1639382185,22,0
1639384091,24,25
1639386033,22,17
1639387929,21,27
1639391794,33,23
1639393687,19,28
1639395631,17,26
1639397529,31,25
1639399691,24,25
1639401627,36,20
1639403531,23,25
1639405447,20,17
1639407390,21,23
1639409284,21,25
1639411452,32,51
1639413388,22,0
1639415529,26,28
1639417688,27,50
1639419604,27,0
1639421547,16,23
1639423449,25,24
1639425387,11,0
1639427289,21,16
1639429236,18,31
1639431127,18,20
1639433045,24,27
1639434992,11,19
1639436884,16,19
1639439050,13,24
1639440987,21,0
1639442891,21,24
1639444827,18,14
1639446726,13,21
1639448645,16,17
1639450569,16,19
1639452725,11,24
1639454669,13,17
1639456566,12,20
1639458723,10,14
1639460653,3,26
1639462585,9,19
1639464484,18,28
1639466647,24,21
1639468816,23,21
1639470967,14,26
1639473125,19,28
1639475045,21,22
1639476986,23,23
1639478884,14,27
1639481071,24,20
1639483234,26,21
1639485126,25,16
1639487068,21,29
1639488969,22,0
1639490906,15,25
1639492807,21,24
1639494725,23,19
1639496648,32,25
1639498830,16,20
1639500728,24,25
1639502670,16,22
1639504566,30,23
1639506506,21,25
1639508413,25,0
1639510324,24,26
1639512267,20,16
1639514168,17,16
1639516107,13,15
1639518004,12,13
1639520166,17,22
1639522327,19,0
1639524490,14,16
1639526438,14,8
1639528329,18,17
1639530489,13,25
1639534325,17,31
1639536488,17,26
1639538426,10,17
1639540338,21,15
1639542246,11,24
1639544187,10,24
1639546325,17,15
1639548248,12,22
1639550189,16,0
1639552093,16,33
1639554026,26,21
1639555923,24,30
1639557846,24,23
1639559789,20,29
1639561686,21,20
1639563848,19,20
1639565765,18,25
