DateTime,Entries,UniqueIPs
1638521525,7102,7436
1638523448,7097,7430
1638525385,7093,7423
1638527290,7090,7420
1638529452,7092,7417
1638531389,7093,7417
1638533290,7093,7416
1638537124,7057,7383
1638539044,7056,7382
1638540987,7065,7390
1638542884,7082,7410
1638544825,7100,7428
1638546733,7110,7439
1638548666,7141,7472
1638550574,7153,7484
1638552506,7170,7501
1638554415,7168,7495
1638556324,7184,7513
1638558270,7162,7490
1638560168,7171,7499
1638562109,7153,7481
1638564271,7149,7478
1638566168,7145,7474
1638568108,7138,7467
1638570010,7137,7467
1638571947,7126,7454
1638573850,7125,7450
1638575784,7137,7462
1638577687,7125,7450
1638579611,7119,7446
1638581532,7116,7446
1638583467,7134,7464
1638585371,7137,7467
1638587308,7136,7457
1638589352,7145,7466
1638591386,7136,7457
1638593547,7128,7449
1638595447,7128,7449
1638597368,7122,7443
1638599307,7127,7445
1638601212,7133,7449
1638603371,7154,7470
1638605304,7152,7467
1638607268,7154,7468
1638609153,7156,7470
1638611067,7154,7468
1638612966,7146,7460
1638614851,7143,7457
1638616812,7149,7462
1638618728,7141,7453
1638620647,7140,7451
1638622566,7148,7459
1638624504,7148,7457
1638628346,7137,7446
1638630247,7139,7448
1638632409,7141,7450
1638636246,7132,7437
1638638186,7126,7431
1638640088,7125,7427
1638642249,7126,7428
1638646107,7100,7397
1638648013,7085,7382
1638649929,7082,7377
1638651867,7067,7362
1638653764,7066,7363
1638655924,7070,7367
1638657869,7070,7364
1638659786,7081,7375
1638663627,7059,7354
1638665768,7068,7365
1638667705,7065,7362
1638669610,7053,7350
1638671525,7070,7369
1638673466,7060,7359
1638675373,7060,7360
1638677546,7059,7359
1638679445,7061,7364
1638681605,7086,7390
1638683523,7095,7400
1638685465,7118,7423
1638687365,7129,7434
1638689305,7139,7443
1638691204,7142,7447
1638693124,7140,7447
1638695089,7152,7459
1638696965,7149,7456
1638699128,7161,7469
1638701287,7168,7476
1638703449,7169,7475
1638705365,7173,7479
1638707308,7184,7492
1638709216,7192,7499
1638711370,7193,7500
1638713524,7199,7506
1638715688,7208,7515
1638719530,7222,7529
1638721470,7221,7528
1638723367,7231,7538
1638725305,7237,7544
1638727218,7240,7547
1638729145,7245,7552
1638731048,7245,7551
1638733209,7261,7567
1638735092,7272,7580
1638737047,7283,7592
1638738987,7294,7603
1638740883,7301,7610
1638743049,7313,7622
1638744988,7309,7617
1638746887,7307,7618
1638748806,7312,7624
1638750747,7317,7628
1638752888,7315,7627
1638755046,7326,7636
1638756987,7314,7630
1638758888,7322,7640
1638761046,7313,7630
1638763210,7317,7634
1638765372,7321,7638
1638767305,7335,7651
1638769207,7338,7654
1638771124,7353,7669
1638773072,7364,7679
1638778805,7309,7625
1638780969,7330,7646
1638783125,7338,7655
1638785288,7343,7660
1638787457,7334,7657
1638789364,7345,7670
1638791310,7351,7675
1638793205,7350,7674
1638795127,7369,7693
1638797074,7387,7712
1638798967,7397,7721
1638800905,7389,7710
1638802817,7397,7718
1638804747,7395,7716
1638806649,7387,7708
1638808810,7398,7719
1638810987,7400,7719
1638812886,7409,7728
1638816745,7407,7724
1638818645,7423,7741
1638820819,7413,7731
1638822745,7444,7762
1638824648,7435,7752
1638826812,7450,7763
1638828724,7468,7781
1638830666,7459,7772
1638832566,7456,7768
1638836647,7452,7764
1638838589,7446,7758
1638840729,7466,7779
1638842886,7453,7764
1638844826,7444,7754
1638846727,7464,7776
1638848886,7479,7791
1638850826,7488,7800
1638852726,7498,7809
1638854645,7518,7830
1638856587,7541,7853
1638858486,7547,7859
1638860654,7552,7863
1638862591,7555,7864
1638864484,7559,7866
1638866650,7568,7874
1638868808,7567,7873
1638870725,7564,7871
1638872683,7566,7873
1638874567,7571,7878
1638876725,7571,7878
1638878648,7568,7875
1638880590,7566,7871
1638884661,7554,7858
1638886821,7555,7859
1638888967,7560,7864
1638890908,7564,7868
1638892806,7575,7882
1638894970,7574,7881
1638896908,7575,7882
1638898812,7588,7895
1638900750,7588,7895
1638904569,7583,7890
1638906507,7584,7890
1638908407,7589,7895
1638910324,7582,7888
1638912245,7578,7886
1638914409,7588,7897
1638918268,7570,7879
1638920170,7558,7867
1638922113,7551,7862
1638924010,7551,7861
1638926166,7541,7852
1638928326,7559,7871
1638930247,7561,7873
1638932187,7565,7878
1638934347,7575,7889
1638936249,7578,7894
1638938189,7581,7898
1638940345,7556,7872
1638942247,7579,7895
1638946353,7586,7900
1638948315,7609,7923
1638950283,7607,7922
1638952380,7608,7923
1638954832,7608,7920
1638956677,7610,7922
1638958565,7595,7907
1638960509,7600,7912
1638962406,7588,7897
1638964326,7592,7903
1638966266,7586,7897
1638968170,7583,7892
1638970326,7572,7882
1638972489,7572,7882
1638974427,7560,7869
1638976326,7565,7872
1638978548,7563,7869
1638980666,7561,7864
1638982570,7563,7867
1638988568,7513,7815
1638990723,7524,7827
1638992646,7524,7825
1638994590,7520,7821
1638996487,7531,7832
1638998648,7533,7834
1639000591,7513,7813
1639002484,7529,7830
1639004649,7531,7830
1639006810,7532,7832
1639008979,7537,7837
1639010908,7535,7836
1639012805,7541,7843
1639014729,7547,7850
1639016665,7560,7862
1639018568,7566,7864
1639020507,7571,7869
1639022419,7567,7866
1639024567,7584,7883
1639026746,7595,7897
1639028646,7610,7911
1639030587,7622,7925
1639032486,7624,7927
1639034646,7614,7920
1639036566,7612,7919
