DateTime,AddedIPs,RemovedIPs
1638521525,54,47
1638523448,70,55
1638525385,65,70
1638527290,57,63
1638529452,65,58
1638531389,64,66
1638533290,67,64
1638537124,59,66
1638539044,64,62
1638540987,61,60
1638542884,56,59
1638544825,52,58
1638546733,57,50
1638548666,61,58
1638550574,56,61
1638552506,54,59
1638554415,52,51
1638556324,49,56
1638558270,49,38
1638560168,39,59
1638562109,45,31
1638564271,48,51
1638566168,49,46
1638568108,44,37
1638570010,48,58
1638571947,53,48
1638573850,41,53
1638575784,39,36
1638577687,50,41
1638579611,47,47
1638581532,52,54
1638583467,44,41
1638585371,52,51
1638587308,36,38
1638589352,52,52
1638591386,63,54
1638593547,42,63
1638595447,42,28
1638597368,44,49
1638599307,59,54
1638601212,54,58
1638603371,50,50
1638605304,55,48
1638607268,53,57
1638609153,66,54
1638611067,55,64
1638612966,63,58
1638614851,67,66
1638616812,62,66
1638618728,62,62
1638620647,71,63
1638622566,56,67
1638624504,59,61
1638628346,63,57
1638630247,51,51
1638632409,56,64
1638636246,54,50
1638638186,59,55
1638640088,44,58
1638642249,62,46
1638646107,63,64
1638648013,49,61
1638649929,56,46
1638651867,28,41
1638653764,58,47
1638655924,62,59
1638657869,56,58
1638659786,51,56
1638663627,50,54
1638665768,65,50
1638667705,62,68
1638669610,49,57
1638671525,61,51
1638673466,52,52
1638675373,63,62
1638677546,66,62
1638679445,60,67
1638681605,61,53
1638683523,59,64
1638685465,70,64
1638687365,73,70
1638689305,61,70
1638691204,53,61
1638693124,72,57
1638695089,56,70
1638696965,56,57
1638699128,70,58
1638701287,59,66
1638703449,64,59
1638705365,66,61
1638707308,68,68
1638709216,62,70
1638711370,59,62
1638713524,66,58
1638715688,69,67
1638719530,62,68
1638721470,63,65
1638723367,63,61
1638725305,67,63
1638727218,50,69
1638729145,67,48
1638731048,50,66
1638733209,63,51
1638735092,57,61
1638737047,60,59
1638738987,61,58
1638740883,58,63
1638743049,61,57
1638744988,42,65
1638746887,60,41
1638748806,56,52
1638750747,52,56
1638752888,49,44
1638755046,55,61
1638756987,21,59
1638758888,65,22
1638761046,57,60
1638763210,47,56
1638765372,59,50
1638767305,59,53
1638769207,54,62
1638771124,69,60
1638773072,59,65
1638778805,60,60
1638780969,58,62
1638783125,67,55
1638785288,63,67
1638787457,64,63
1638789364,68,65
1638791310,62,67
1638793205,67,65
1638795127,59,65
1638797074,59,57
1638798967,47,60
1638800905,45,45
1638802817,61,46
1638804747,60,63
1638806649,62,62
1638808810,58,62
1638810987,64,56
1638812886,61,64
1638816745,57,62
1638818645,70,58
1638820819,57,67
1638822745,69,61
1638824648,50,57
1638826812,60,57
1638828724,55,63
1638830666,57,53
1638832566,56,54
1638836647,55,58
1638838589,57,56
1638840729,50,55
1638842886,62,52
1638844826,65,62
1638846727,61,63
1638848886,58,62
1638850826,52,62
1638852726,58,50
1638854645,54,51
1638856587,62,61
1638858486,58,60
1638860654,67,56
1638862591,64,70
1638864484,59,63
1638866650,62,62
1638868808,52,62
1638870725,61,51
1638872683,66,62
1638874567,58,64
1638876725,62,60
1638878648,59,62
1638880590,58,56
1638884661,56,60
1638886821,61,57
1638888967,57,58
1638890908,55,58
1638892806,48,55
1638894970,65,47
