DateTime,AddedIPs,RemovedIPs
1639147939,66,71
1639148043,23,1
1639149482,46,42
1639150097,18,271
1639150204,22,83
1639151283,37,15
1639152016,18,8
1639152723,42,50
1639153931,57,87
1639155849,316,39
1639157405,60,95
1639157789,31,16
1639158123,24,269
1639158843,30,1
1639159693,15,15
1639159922,26,42
1639160644,24,1
1639161629,45,105
1639162082,27,8
1639162442,16,0
1639163528,42,67
1639165449,32,19
1639166042,583,58
1639167122,46,56
1639167388,33,15
1639167482,15,0
1639168563,22,11235
1639169293,46,17
1639169643,11206,9
1639170364,28,49
1639171227,20,36
1639171443,41,1
1639171807,9,63
1639173130,30,75
1639173242,28,1
1639175067,33,27
1639175405,98,119
1639176968,86,95
1639178907,13,82
1639179724,92,113
1639180816,526,1
1639182967,20,13
1639183324,110,156
1639184043,31,1
1639185128,39,61
1639185484,18,0
1639186563,30,69
1639187047,11,9
1639187643,28,1
1639188723,36,554
1639188986,17,15
1639189443,20,0
1639190523,26,90
1639191125,24,12
1639191613,40,29
1639191964,11,0
1639193046,7,12
1639193762,63,66
1639194123,12,0
1639194987,9,11
1639195213,41,42
1639195923,24,0
1639196887,42,9
1639197364,20,68
1639197723,12,6
1639198818,23,17
1639199583,36,45
1639200751,26,12
1639201681,41,54
1639202648,5,15
1639203124,49,53
1639203842,18,2
1639204590,21,17
1639205282,40,75
1639206495,51,79
1639207805,43,60
1639208428,15,20
1639208523,24,13
1639209243,24,0
1639210327,27,14
1639210682,42,63
1639211405,49,53
1639212488,23,14
1639213016,45,30
1639214648,74,85
1639215364,37,70
1639215723,9,2
1639216591,22,27
1639216923,47,44
1639217523,24,0
1639218484,12,35
1639219323,62,88
1639220649,48,2114
1639221123,25,1
1639222206,30,59
1639222586,20,28
1639223643,47,10
1639224485,415,0
1639225443,39,41
1639226648,166,84
1639227244,19,0
1639227965,22,544
1639228812,24,20
1639229404,47,53
1639230124,19,15
1639230746,14,14
1639232654,95,62
1639233363,29,83
1639234084,21,11
1639234808,26,19
1639235523,48,9026
1639236243,10539,0
1639236970,28,21
1639237323,20,72
1639238043,21,0
1639238906,8,15
1639239123,39,52
1639240206,29,64
1639240804,34,277
1639240923,22,17
1639242747,60,23
1639243082,53,35
1639244647,112,72
1639245963,306,48
1639246567,49,17
1639246683,21,0
1639248506,19,16
1639250411,134,164
1639251005,26,69
1639252351,55,28
1639252412,256,511
1639252443,5,0
1639254249,75,56
1639254963,28,81
1639255323,17,8
1639256420,47,16
1639256763,21,114
1639257482,23,0
1639258345,20,19
1639258564,37,81
1639260248,14,12
