DateTime,AddedIPs,RemovedIPs
1639060925,2,0
1639062125,1,0
1639062726,1,0
1639063324,2,0
1639063924,1,0
1639063983,1,0
1639064525,1,0
1639065124,3,0
1639065724,2,0
1639066324,1,0
1639067827,2,0
1639068125,1,0
1639071430,3,0
1639071724,1,0
1639072324,3,0
1639072924,2,0
1639073525,2,0
1639074782,1,0
1639075324,1,0
1639076524,2,0
1639077724,4,0
1639078383,5,0
1639078924,1,0
1639080125,5,0
1639081324,2,0
1639081981,1,0
1639082525,1,0
1639083724,1,0
1639084325,5,0
1639087926,1,0
1639089181,2,0
1639089725,1,0
1639090324,2,0
1639090924,1,0
1639092782,1,0
1639093325,1,0
1639093924,3,0
1639095124,1,0
1639095724,1,0
1639096925,1,0
1639099981,1,0
1639101724,1,0
1639103525,1,0
1639104724,4,0
1639105324,2,0
1639105924,1,0
1639108324,3,0
1639108924,1,0
1639110124,1,0
1639110783,2,1
1639112524,2,0
1639113125,1,0
1639114925,1,0
1639115525,2,0
1639116124,1,0
1639119124,1,0
1639121581,4,0
1639122724,1,0
1639124524,2,0
1639127524,0,2
1639128124,1,0
1639128781,1,0
1639129325,1,0
1639129924,2,0
1639130524,1,0
1639132925,2,0
1639134124,1,0
1639135324,2,0
1639135924,2,0
1639138924,2,0
1639140724,1,0
1639141324,1,0
1639143724,3,0
1639145525,1,0
1639146123,1,0
1639148524,1,0
1639150924,1,0
1639152124,5,0
1639153324,1,0
1639156325,1,0
1639158724,2,0
1639159324,5,0
1639159925,1,0
1639160524,2,0
1639161125,2,0
1639162324,3,0
1639164124,1,0
1639164724,1,0
1639166524,1,0
1639167725,3,0
1639169234,1,0
1639169524,3,0
1639170725,2,0
1639171324,1,0
1639171925,2,0
1639173124,1,2
1639173724,3,0
1639175524,1,0
1639176125,2,0
1639176724,1,0
1639178524,2,0
1639179125,2,0
1639179724,2,0
1639180324,14,0
1639181525,3,1
1639182124,3,0
1639182725,4,0
1639183924,7,0
1639184524,16,0
1639185725,15,0
1639186324,4,0
1639188125,1,0
1639189325,10,0
1639189924,3,0
1639190524,5,0
1639191124,10,0
1639191725,8,0
1639192326,1,0
1639192924,6,0
1639194124,1,0
1639195324,4,0
1639197725,2,0
1639198924,5,0
1639199526,2,0
1639200124,2,0
1639200725,16,1
1639201326,3,0
1639201925,2,0
1639202525,3,0
1639203125,3,0
1639203724,1,0
1639204381,1,0
1639205524,1,0
1639206724,4,0
1639207324,4,0
1639207981,2,0
1639209124,4,0
1639209724,1,0
1639210924,1,2
1639211581,5,0
1639212724,2,0
1639213324,4,0
1639213924,2,0
1639214524,5,1
1639215181,1,0
1639216324,36,0
1639216924,2,0
1639217525,1,0
1639218781,1,1
1639219324,1,0
1639219924,8,0
1639220524,1,0
1639222924,1,0
1639223523,3,0
1639225324,5,0
1639225981,1,0
1639227124,3,0
1639228324,5,1
1639230124,2,0
1639230724,1,0
1639231925,2,0
1639232524,1,0
1639233181,8,0
1639233725,4,0
1639234323,2,0
1639234923,1,0
1639236124,3,0
1639236781,3,0
1639237324,2,0
1639237924,1,0
1639238524,1,0
1639239124,1,0
1639239723,1,0
1639240324,1,0
1639240924,2,0
1639241523,0,1
1639242123,1,0
1639245723,2,0
1639246923,1,0
1639248724,3,0
1639249324,3,0
1639251725,4,0
1639252923,1,0
1639253524,4,0
1639254124,1,0
1639255324,1,0
1639255924,9,0
1639257125,1,0
1639257724,3,0
1639258924,1,0
1639260724,2,1
1639261323,1,0
1639263123,1,0
1639264924,1,0
1639265835,2,0
1639266125,2,1
1639267924,3,0
1639268524,2,0
1639269124,1,0
1639269724,1,0
1639270324,1,0
1639270923,1,0
1639272124,1,0
1639272724,3,0
1639273325,2,0
1639273924,1,0
1639276940,2,0
1639279324,1,0
1639280525,1,0
1639281724,2,0
1639283525,1,0
1639284129,1,0
1639285324,3,0
1639285925,0,2
1639286524,2,0
1639287124,3,0
1639287726,2,0
1639288325,1,0
1639288924,3,0
1639291924,1,0
1639292524,0,1
1639294325,1,0
1639294924,1,0
1639297324,1,0
1639298525,2,0
1639299724,2,0
1639300925,1,1
1639301525,1,0
1639302725,1,0
1639303324,2,0
1639303925,3,0
1639304524,4,0
1639305124,20,0
1639305725,2,0
1639306925,1,0
1639307525,1,0
1639308124,2,0
1639308724,1,0
1639310524,2,0
1639314124,11,0
1639315925,3,0
1639317124,1,0
1639317724,3,0
1639318925,4,0
1639319524,1,0
1639320124,1,0
1639321324,2,0
1639322524,2,0
1639323725,4,0
1639324324,2,0
1639324924,5,0
1639326124,7,3
1639326784,1,0
1639327325,3,0
1639327924,1,0
1639328524,5,0
1639329125,2,0
1639329723,2,0
1639330925,12,0
1639331523,6,1
1639333324,4,0
1639333924,2,0
1639334524,3,0
1639335123,7,0
1639335723,5,0
1639336924,1,0
1639337581,2,0
1639338124,3,0
1639339324,3,0
1639340524,12,1
1639341124,2,0
1639342324,3,0
1639342924,3,0
1639344124,1,0
1639345325,2,0
1639347126,3,0
1639347724,9,0
1639348925,1,0
1639349524,4,0
1639350124,1,0
1639351324,1,0
1639352525,1,0
1639354325,1,0
1639354925,1,0
1639355524,1,0
1639357324,1,0
1639358524,0,1
1639359124,1,0
1639359725,2,0
1639362124,2,0
1639362782,3,1
1639363924,3,0
1639365125,1,0
1639365725,9,1
1639366926,1,0
1639368125,4,0
1639368725,3,0
1639369324,1,0
1639369981,2,0
1639370525,5,0
1639371724,27,0
1639372925,2,0
1639374724,6,0
1639375324,4,0
1639376524,4,0
1639377181,1,0
1639377725,44,0
1639378925,5,0
1639379524,2,0
1639380125,3,0
1639381037,3,0
1639381325,1,0
1639381924,5,0
1639382524,2,0
1639383124,7,0
1639383725,4,0
1639384325,5,0
1639384939,2,0
1639385524,1,0
1639386124,4,0
1639386725,1,0
1639388525,1,1
1639389124,14,0
1639389725,5,0
1639390325,1,0
1639390925,15,0
1639391525,14,0
1639392125,4,0
1639393325,1,0
1639393926,1,0
1639394524,7,0
1639395125,13,0
1639395724,1,0
1639396324,2,0
1639396924,1,0
1639397524,1,0
1639398124,3,0
1639398725,6,0
1639398782,1,0
1639399324,3,0
1639400524,3,0
1639401125,18,0
1639401725,5,0
1639402381,2,0
1639402925,5,0
1639404125,4,0
1639404726,3,0
1639405981,5,0
1639406525,3,0
1639408924,3,0
1639409581,1,0
1639410125,11,0
1639410725,2,0
1639411324,1,0
1639411925,18,0
1639413725,1,0
1639416782,2,0
1639417325,6,0
1639417925,1,0
1639418524,3,0
1639419724,4,0
1639420381,2,0
1639420925,9,0
1639422124,2,0
1639422725,1,0
1639423324,3,0
1639423981,1,1
1639425124,5,0
1639425724,7,0
1639426924,1,0
1639427581,2,0
1639428124,4,0
1639428724,1,1
1639430524,2,0
1639431725,1,0
1639432324,1,0
1639432925,2,0
1639433524,1,0
1639434124,8,0
1639434724,9,0
1639435325,4,0
1639437724,1,0
1639438381,0,1
1639438925,1,0
1639439524,6,0
1639440124,2,0
1639441324,2,0
1639441981,4,0
1639442525,1,0
1639445581,3,0
1639446725,0,1
1639448524,2,0
1639449181,2,0
1639449725,4,0
1639450925,3,0
1639452124,4,0
1639453924,5,0
1639454524,2,0
1639456382,1,0
1639456925,1,1
1639457525,1,0
1639458124,2,0
1639458724,1,0
1639459324,1,0
1639459981,3,0
1639461124,2,1
1639461724,1,0
1639462925,1,0
1639463581,1,0
1639464125,1,0
1639465325,5,0
1639465924,0,1
1639466524,1,0
1639468323,1,0
1639469526,3,0
1639470124,1,0
1639472524,6,0
1639473125,2,0
1639474383,1,0
1639475524,3,0
1639477324,1,0
1639477983,1,0
1639479124,2,0
1639480325,1,0
1639482724,2,0
1639483925,1,0
1639484524,0,1
1639486324,3,0
1639486924,3,0
1639488124,1,0
1639488784,0,1
1639491724,4,0
1639492324,4,0
