DateTime,Entries,UniqueIPs
1638577688,2594,2594
1638579612,2566,2566
1638581533,2563,2563
1638583467,2554,2554
1638585372,2537,2537
1638587309,2516,2516
1638589353,2511,2511
1638591387,2510,2510
1638593548,2494,2494
1638595447,2500,2500
1638597369,2483,2483
1638599308,2485,2485
1638601213,2474,2474
1638603372,2473,2473
1638605305,2466,2466
1638607268,2478,2478
1638609153,2475,2475
1638611068,2464,2464
1638612967,2464,2464
1638614852,2458,2458
1638616813,1379,1379
1638618728,1377,1377
1638620648,1930,1930
1638622567,1927,1927
1638624505,1929,1929
1638626414,1918,1918
1638628346,1915,1915
1638630248,1922,1922
1638632410,1931,1931
1638634347,1936,1936
1638636246,1919,1919
1638638187,1898,1898
1638640089,1891,1891
1638642249,1898,1898
1638644165,1896,1896
1638646108,1898,1898
1638648014,1906,1906
1638649929,1939,1939
1638651868,1978,1978
1638653765,1985,1985
1638655925,1993,1993
1638657870,1995,1995
1638659786,1987,1987
1638661685,1973,1973
1638663629,2468,2468
1638665768,2465,2465
1638667706,2474,2474
1638669611,2474,2474
1638671526,2490,2490
1638673466,2505,2505
1638675374,2506,2506
1638677547,2518,2518
1638679447,2520,2520
1638681606,2549,2549
1638683524,2642,2642
1638685466,2669,2669
1638687365,2687,2687
1638689306,2699,2699
1638691205,2731,2731
1638693125,2744,2744
1638695090,2756,2756
1638696965,2759,2759
1638699128,2775,2775
1638701288,2794,2794
1638703449,1846,1846
1638705365,1852,1852
1638707308,2309,2309
1638709217,2338,2338
1638711371,2346,2346
1638713525,2365,2365
1638715689,2385,2385
1638717628,2380,2380
1638719531,2392,2392
1638721471,2402,2402
1638723368,2413,2413
1638725305,2415,2415
1638727220,2421,2421
1638729146,2426,2426
1638731048,2431,2431
1638733210,2449,2449
1638735093,2461,2461
1638737047,2459,2459
1638738988,2462,2462
1638740884,2468,2468
1638743049,2464,2464
1638744988,2469,2469
1638746888,2464,2464
1638748807,2452,2452
1638750747,2838,2838
1638752889,2846,2846
1638755046,2842,2842
1638756987,2855,2855
1638758889,2859,2859
1638761046,2869,2869
1638763211,2858,2858
1638765373,2870,2870
1638767306,2872,2872
1638769208,2876,2876
1638771125,2877,2877
1638773073,2892,2892
1638774967,2882,2882
1638776910,2885,2885
1638778805,2888,2888
1638780970,2876,2876
1638783126,2881,2881
1638785289,2873,2873
1638787458,2883,2883
1638789365,1654,1654
1638791311,1650,1650
1638793206,2428,2428
1638795127,2441,2441
1638797075,2446,2446
1638798967,2457,2457
1638800905,2455,2455
1638802818,2459,2459
1638804748,2472,2472
1638806650,2459,2459
1638808811,2471,2471
1638810988,2438,2438
1638812886,2421,2421
1638814805,2432,2432
1638816746,2428,2428
1638818646,2426,2426
1638820820,2427,2427
1638822746,2424,2424
1638824648,2423,2423
1638826813,2434,2434
1638828725,2424,2424
1638830667,2424,2424
1638832567,2428,2428
1638834723,2430,2430
1638836647,2991,2991
1638838590,3001,3001
1638840730,3002,3002
1638842887,2990,2990
1638844827,2990,2990
1638846728,2981,2981
1638848887,2991,2991
1638850827,2989,2989
1638852727,2988,2988
1638854646,2957,2957
1638856588,2918,2918
1638858486,2918,2918
1638860654,2918,2918
1638862592,2922,2922
