DateTime,AddedIPs,RemovedIPs
1639198924,9,0
1639199526,4,1
1639200124,3,0
1639200725,4,0
1639201326,5,10
1639201925,4,1
1639202525,5,2
1639203125,4,4
1639203724,3,2
1639204325,3,0
1639205524,1,2
1639206124,6,1
1639206724,6,0
1639207324,4,0
1639207925,4,2
1639208524,0,1
1639209124,4,6
1639209724,1,0
1639210924,2,4
1639211525,6,0
1639212125,2,4
1639212724,4,1
1639213324,4,2
1639213924,6,0
1639214524,7,0
1639215124,2,0
1639215725,1,0
1639216324,9,0
1639216924,4,0
1639217525,3,5
1639218125,1,1
1639218724,3,0
1639219324,1,0
1639219924,15,6
1639220524,4,13
1639221124,0,6
1639222924,3,2
1639223523,4,4
1639225324,9,8
1639226524,2,7
1639227124,1,0
1639228324,6,11
1639228924,0,1
1639229524,1,0
1639230124,2,3
1639230724,2,2
1639231323,0,23
1639231925,4,0
1639232524,2,2
1639233725,5,5
1639234323,2,0
1639234923,7,3
1639236124,5,3
1639236724,4,3
1639237324,5,2
1639237924,6,4
1639238524,2,6
1639239124,1,0
1639239723,2,2
1639240324,2,5
1639240924,3,0
1639241523,1,32
1639242123,3,2
1639243324,1,1
1639243924,0,3
1639244524,1,0
1639245723,4,0
1639246325,1,0
1639246923,1,0
1639248124,1,2
1639248724,3,3
1639249324,4,1
1639249925,0,1
1639250524,1,4
1639251124,1,21
1639251725,4,0
1639252323,2,1
1639252923,2,0
1639253524,7,2
1639254124,3,7
1639254724,2,0
1639255324,5,0
1639256523,1,0
1639257125,2,7
1639257724,2,27
1639258924,5,0
1639259523,1,2
1639260124,0,3
1639260724,3,0
1639261323,1,1
1639262525,5,3
1639263123,0,1
1639264325,5,0
1639264924,1,0
1639266125,3,0
1639267324,2,8
1639267924,3,16
1639268524,2,0
1639269724,6,4
1639270324,6,5
1639270923,3,0
1639271525,1,2
1639272124,4,1
1639272724,3,2
1639273325,6,1
1639273924,2,0
1639274524,1,2
1639275125,1,5
1639276924,2,0
1639277525,3,25
1639278124,2,6
1639278725,3,0
1639279324,1,0
1639279924,1,0
1639280525,2,4
1639281124,3,5
1639281724,2,1
1639282325,1,0
1639283525,9,17
1639284124,4,1
1639285324,4,5
1639285925,2,1
1639286524,8,4
1639287124,1,0
1639287726,6,5
1639288325,4,7
1639288924,5,2
1639290124,3,34
1639290725,1,3
1639291326,3,0
1639291924,5,9
1639292524,3,8
1639293124,3,0
1639293724,2,8
1639294924,3,9
1639295524,2,0
1639296124,3,4
1639297324,2,4
1639298525,6,2
1639299724,4,3
1639300925,1,5
1639301525,3,0
1639302124,0,2
1639303324,4,5
1639303925,8,0
1639304524,4,0
1639305124,6,6
1639305725,3,0
1639306925,5,4
1639307525,6,0
1639308124,8,18
1639308724,2,0
1639309924,0,10
1639310524,4,0
1639311724,1,5
1639312324,2,1
1639312924,2,0
1639313524,5,16
1639314124,12,0
1639314725,0,6
1639315324,1,0
1639315925,5,11
1639316525,2,9
1639317124,3,2
1639317724,7,0
1639318925,7,9
1639319524,9,4
1639320124,4,2
1639321324,4,1
1639322524,5,11
1639323725,6,9
1639324324,0,4
1639324924,4,2
1639326124,13,1
1639326724,2,4
1639327325,6,0
1639328524,11,3
1639329723,3,4
1639330925,9,0
1639331523,8,4
1639332724,0,3
1639333324,6,20
1639333924,5,0
1639334524,7,4
1639335123,12,0
1639335723,7,4
1639336924,1,10
1639337524,7,2
1639338124,1,2
1639338724,1,1
1639339324,5,2
1639339924,0,9
1639340524,6,11
