DateTime,AddedIPs,RemovedIPs
1637952302,277,0
1637956802,234,0
1637957703,39,0
1637959502,97,0
1637965802,358,0
1637970302,174,0
1637972102,81,4383
1637973902,102,0
1637975702,96,1
1637979302,178,0
1637986502,356,0
1637987402,33,0
1637992802,232,0
1637995502,130,0
1637997302,98,0
1638000002,150,0
1638000902,40,0
1638004502,132,0
1638008102,202,0
1638009902,76,0
1638010803,35,0
1638014402,175,0
1638018002,158,0
1638019802,76,0
1638023403,214,0
1638027902,235,0
1638031502,151,0
1638035102,147,0
1638042302,342,0
1638046803,174,0
1638054003,299,0
1638056702,121,0
1638058502,119,4675
1638064803,244,0
1638068402,126,0
1638072002,112,0
1638075603,133,0
1638077402,82,0
1638082802,209,0
1638085502,96,0
1638089102,166,0
1638092702,149,0
1638096302,154,0
1638099902,140,0
1638100802,43,0
1638103502,131,0
1638110703,260,0
1638112502,76,0
1638114302,68,0
1638117002,106,0
1638118803,61,0
1638121502,113,0
1638122403,36,0
1638126003,126,0
1638128702,114,0
1638130503,83,0
1638132302,64,0
1638134102,67,0
1638141302,278,0
1638144902,137,4518
1638147602,107,0
1638151203,148,0
1638152102,51,0
1638153902,83,0
1638155702,63,0
1638162002,344,0
1638169203,300,0
1638171902,140,0
1638179102,334,0
1638180003,50,0
1638184502,243,0
1638188102,190,0
1638192602,260,0
1638196202,186,0
1638199802,205,0
1638200702,50,0
1638201602,53,0
1638204302,168,0
1638207902,223,0
1638209702,90,0
1638215102,307,0
1638217803,181,0
1638218702,44,0
1638225902,370,0
1638226802,53,0
1638230403,141,3574
1638237603,378,0
1638241203,164,0
1638243902,121,0
1638247502,137,0
1638249302,85,0
1638255603,291,0
1638261002,284,0
1638268202,430,0
1638270902,216,0
1638271802,103,0
1638274502,207,0
1638279002,355,0
1638279902,59,0
1638281702,105,0
1638283503,112,0
1638285302,96,0
1638290702,313,0
1638297002,342,0
1638302403,273,0
1638306002,187,0
1638309602,213,0
1638313202,213,0
1638318602,298,4181
1638320402,131,0
1638327602,465,0
1638330302,190,0
1638331203,67,0
1638332103,59,0
1638333902,142,0
1638337502,269,0
1638340203,130,0
1638345602,255,0
1638348302,141,0
1638351003,135,0
1638355502,222,0
1638359102,183,0
1638361802,168,0
1638363602,106,0
1638369902,380,0
1638375303,446,0
1638378002,155,0
1638382502,291,0
1638386102,188,0
1638389702,229,0
1638391502,118,0
1638393302,100,0
1638396902,215,0
1638403203,264,4673
1638410403,425,0
1638415802,242,0
1638416702,46,0
1638419402,132,0
1638424802,276,0
1638428403,210,0
1638432002,209,0
1638435602,208,0
1638439202,207,0
1638446402,397,0
1638447302,54,0
1638453603,362,0
1638454502,51,0
1638461702,430,0
1638462602,45,0
1638464402,90,0
1638468903,227,0
1638470702,126,0
1638472502,87,0
1638475202,133,0
1638479702,318,0
1638482403,188,0
1638483302,82,0
1638489603,391,4683
1638495902,329,0
1638496803,37,0
1638504002,359,0
1638508502,228,0
1638512102,222,0
1638513002,57,0
1638513902,52,0
1638517502,202,0
1638521102,254,0
1638527403,414,0
1638528303,55,0
1638531002,197,0
1638531903,87,0
1638538202,389,0
1638540003,98,0
1638543602,157,0
1638545402,120,0
1638549002,224,0
1638550802,86,0
1638552602,76,0
1638557102,193,0
1638560702,161,0
1638562502,83,0
1638565203,103,0
1638567002,115,0
1638568802,86,0
1638572402,194,0
1638576003,157,4904
1638580503,232,0
1638584102,169,0
1638587702,190,0
1638591302,156,0
1638592202,49,0
1638594902,127,0
1638599402,193,0
1638603002,179,0
1638605702,148,0
1638608402,133,0
1638611102,141,0
1638614703,179,0
1638618302,167,0
1638623702,258,0
1638629102,242,0
1638632702,243,0
1638634502,95,0
1638636302,81,0
1638639002,111,0
1638639902,51,0
1638643502,190,0
1638647102,216,0
1638650702,205,0
1638654302,171,0
1638657903,185,1
1638662403,201,4730
1638666003,193,0
1638669602,172,0
1638672302,169,0
1638673203,61,0
1638676802,202,0
1638680402,219,0
1638684002,259,0
1638687602,169,0
1638692102,188,0
1638696602,193,0
1638703802,316,0
1638708303,161,0
1638711902,145,0
1638714602,104,0
1638718203,147,0
1638719102,34,0
1638726302,400,0
1638729902,140,0
1638730802,33,0
1638734403,143,0
1638741603,333,0
1638743402,94,0
1638745202,75,0
1638749702,218,4251
1638750602,67,0
1638751502,69,0
1638755102,206,0
1638758702,186,0
1638762302,172,0
1638769502,408,0
1638776702,477,0
1638781202,283,0
1638784802,211,0
1638787502,141,0
1638788402,43,0
1638792002,191,0
1638794702,289,0
1638798302,212,0
1638799202,40,0
1638801902,147,0
1638803703,88,0
1638806403,134,0
1638807302,54,0
1638810003,131,0
1638810902,55,0
1638811802,59,0
1638814502,137,0
1638818102,179,0
1638821702,169,0
1638828002,311,0
1638828902,32,0
1638832503,155,0
1638836102,150,4189
1638839702,191,0
1638843302,197,0
1638844202,50,0
1638846902,156,0
1638851402,219,0
1638855002,195,0
1638856802,81,0
1638859503,159,0
1638860402,56,0
1638866702,356,0
1638867602,43,0
1638871203,225,0
1638874802,231,0
1638875702,65,0
1638876602,68,0
1638879302,180,0
1638883802,258,0
1638887402,225,0
1638888302,48,0
1638890102,96,0
1638891903,96,0
1638897303,273,0
1638899102,73,0
1638904503,208,0
1638907202,108,0
1638909003,71,0
1638911702,105,0
1638912602,25,0
1638916203,129,0
1638919802,124,0
1638926102,231,4838
1638929702,144,0
1638931502,58,0
1638938702,296,0
